Likes,Body,Url_photo
272,"♿ Задумывались ли о том, почему говорящая рыбка Немо вызывает у нас умиление, а Соник из предстоящего фильма — неприязнь? Автор этого блога расскажет подробнее об эффекте зловещей долины и о том, как он связан с главным героем «Соник в кино».

stopgame.ru/blogs/topic/95785",https://stopgame.ru/blogs/topic/95785
189,"Дэвид Эддингс сообщил, что Рэнди Питчфорд издевался над ним. Вдобавок экс-сотрудник Gearbox заявил, что слова о деньгах за роль Клэптрэпа в Borderlands 3 в два раза больше стандарта, — ложь.

https://stopgame.ru/newsdata/38184",https://stopgame.ru/blogs/topic/95785
235,"Долгоносик, кажется, пожрал не только хмель, но и годы томительного ожидания следующей полновесной Stronghold. Милорд, у нас есть хорошая новость!

https://stopgame.ru/newsdata/38182",https://stopgame.ru/blogs/topic/95785
104,"Эдмунд Макмиллен расщедрился на сроки выхода The Legend of Bum-bo, Repentance для The Binding of Isaac и расширения для настольной Four Souls

https://stopgame.ru/newsdata/38183",https://stopgame.ru/blogs/topic/95785
108,"Интерактивные развлечения и эфиры по ним переплетаются всё теснее — благодаря расширениям для Twitch зрители узнаю́т, что в играх можно принимать участие. И Rage 2 не исключение.

https://stopgame.ru/newsdata/38181",https://stopgame.ru/blogs/topic/95785
253,"Время вспомнить об «авторской колонке», ведь [id2369511|Иван Лоев] захотел поделиться своими впечатлениями и переживаниями насчёт Ghost Recon: Breakpoint",https://stopgame.ru/blogs/topic/95785
130,"GamingBolt выудил из интервью с исполнительным продюсером MachineGames сведения о грядущей Wolfenstein: Youngblood. Самое интересное внутри.

https://stopgame.ru/newsdata/38180",https://stopgame.ru/blogs/topic/95785
115,"📕 Отправляемся в заднюю комнату Гарри Потте... Мне точно нужно это говорить?

youtube.com/user/stopgameonline
youtube.com/user/stopgameonline",https://stopgame.ru/blogs/topic/95785
938,Промо с костюмом Пеппер Поттс в деталях из фильма «Мстители: Финал»,https://stopgame.ru/blogs/topic/95785
336,"E3 спасена, даже Sony не понадобилась. Devolver Digital готовится к вылету.

https://stopgame.ru/newsdata/38179",https://stopgame.ru/blogs/topic/95785
307,"Несмотря на жанровую принадлежность, в Frostpunk есть и фрагменты «лора», и драма, и социальный комментарий — в общем, масса материала для ролевого спин-оффа. 11 bit studios считает так же. 

https://stopgame.ru/newsdata/38178",https://stopgame.ru/blogs/topic/95785
107,"Сегодня в 20:00 📕 youtube.com/user/stopgameonline

Любители читать вслух — Антон Паули, Евгений Баранов, Евгений Шостик и Иван Лоев — вернулись! И решили не запрягать долго, а сразу ухватиться за ""золото"" — фанфик по Гарри Поттеру.",https://stopgame.ru/blogs/topic/95785
132,"Predator: Hunting Grounds разрабатывают авторы Friday the 13th: The Game. Следующая игра студии отчасти напоминает предшественницу: она тоже многопользовательская и асимметричная.

https://stopgame.ru/newsdata/38177",https://stopgame.ru/blogs/topic/95785
132,"Режим для пар в «Королевской битве» Battlefield V изначально создавался как временный контент. Разработчики пошли на встречу игрокам, сохранив дуо, но сами просящие быстро про него забыли.

https://stopgame.ru/newsdata/38176",https://stopgame.ru/blogs/topic/95785
88,"Издательство Capcom провело стрим и рассказало о дополнении Iceborne для Monster Hunter: World, которое было представлено ночью в рамках State of Play

https://stopgame.ru/newsdata/38174",https://stopgame.ru/blogs/topic/95785
93,"Nintendo ухитрилась сделать из «Тетриса» королевскую битву только для пользователей Switch Online. Ну а если подписываться на услугу не хочется, всё равно придётся доставать кошелёк.

https://stopgame.ru/newsdata/38175",https://stopgame.ru/blogs/topic/95785
871,Ваша причина смотреть следующую «Джуманджи» снова здесь,https://stopgame.ru/blogs/topic/95785
215,"Годы шли, а Titan Quest из 2006-го продолжала развиваться

https://stopgame.ru/newsdata/38173",https://stopgame.ru/blogs/topic/95785
190,"В Raising Kratos запечатлены пять лет титанического труда, вложенного в новую версию God of War. Вы узнаете не только о процессе разработки, но и познакомитесь поближе с Кори Барлогом.

https://stopgame.ru/newsdata/38172",https://stopgame.ru/blogs/topic/95785
119,"За приобретение HD-издания оригинальной «Мор. Утопия» покупатели ремейка «Мора» получат скидку, а цифровая книга и саундтрек стоят по 205 рублей

https://stopgame.ru/newsdata/38171",https://stopgame.ru/blogs/topic/95785
597,Документальный фильм о разработке God of War с русскими субтитрами,https://stopgame.ru/blogs/topic/95785
